Tweet,label
kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew,0
aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit,0
guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar,0
kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt,0
kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun,0
buat dong aku kan juga istrinya daniel,0
hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit,0
guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa,0
tolong la harini je dah banyak sangat ketawa krem perut aku yall,0
gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml,0
aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo,0
temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb,0
bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah,0
segitu kangennya ya mba sama aku,0
hidup ini adalah pilihan yang harus kamu pilih,0
if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah,0
sayang lagi sakit jadi aku harus sentiasa ada buat sayangku,0
i liked a video aku tanya pak jokowi pakai bahasa jawa,0
okaay nggapapaa aku minta doyoung ajaa makasih yaa,0
aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekahkan al fat,0
le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang,0
pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh,0
aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang irisan ca,0
jika aku jadi ratumu maka pasti kau rajanya ya kan,0
aku penggemar mie burung dara enaknya nyambung terus,0
ni kalau suami aku panggil sayang macam ni we're gonna make babies right after,0
be strong bro,0
di antara buku buku kesukaan yang kaubaca sampai malam kian jauh dan sendiri aku ingin jadi buku yang menelungkup di d,0
cerita hari ini aku baru beli 2 hamster biar ngga kesepian aja sih di rumah aku pandaaaang terus mereka berdu,0
tak perlu takut untuk meninggalkan sesuatu yg tidak menghormatimu masih banyak kesempatan untukmu menjadi lebih terhormat jika kamu berani,0
let me make this clear paan dlm hidup ni kan kalau kita xrasa gagal kita xkan ada motivasi n,0
ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f,0
kuis lagi kuis lagi emang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus menebak,0
stay beside you was my job hehee sayang kamu,0
hahahahaha terhibur betul lah lol semua tempat dia tiful kan ingat ke aku sorang je perasan typo dekat caption tu,0
fams sama aku yuk,0
aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan,0
wkwkwk gt lt berdoa aja kamu lip yg banyak semoga ganteng wowognya,0
udah tau ikon dari jaman win yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti,0
gilaaa beliin aku dong kak,0
kalau kamu mau dihormati harus mau menghormati,0
tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini,0
bibi adikku si cantik suka banget liatnya kalau kamu lagi seneng enggak tau kenapa jadi ikutan seneng bi pos,0
aku ikut habib lutfi aja rois aam jam'iyyah ahlith thariqah al mu'tabarah an nahdliyyah yg meminta menurunkan bendera yg k,0
omg kamu harus melihat ini bigolive,0
jadi dirimu sendiri agar ketika seseorang mencintai kamu tak perlu takut jika dia akan temukan dirimu bukan orang,0
saat ditanya aku hanya diam dan mengangguk kutahu bahwa dia orang yang baik,0
aku pake himalaya neem mask juga gini kok bagus emg matull banget,0
selalu buat macam ni setiap kali nampak peti ais kat dapur haha,0
idola aku banget itu mba,0
sesungguhnya penguasaan diri adalah penanda dari kedewasaan seseorangelamat buat kamu yang memang benar benar sudah b,0
hahahaha pastu buat2 terkejut eh dah sampai aku tumbokk muka kau kang,0
karena presentasi hari ini lancar aku mau bikin ga album only wanna ver one ver aja no need to follow tapi,0
shopee kamu apaa mau dong,0
laksanakan segala apa yang diwajibkan allah niscaya kamu menjadi orang yang paling bertakwa hr ath thabrani,0
aku cinta segala promo grabfood karena bisa makan burger mcd seharga ayam geprek,0
aku mungkin luaran nampak happy go lucky sentiasa tersenyum dgn orang sekeliling friendly gelak ketawa sampai berdekah a,0
aku cinta w1,0
done watching dilan 1990 2018 dari start movie sampai habis aku senyum sorang nasib baik tengok sengsorang kalau ram,0
aku mau,0
doa untuk ibu dan bapa ya allah ampunila,0
tampil sndiri atasi diri hadapi audiens lakuin perlihatkan ssuatu 'skill mu sampai tuntas buat smua kagum p,0
ciri lelaki idaman aku um kena sama macam ayah aku,0
sikaaat ajaaaa sissst sikat bajunya celananya biar bersih wkwk canda ding kalo bisa ga usah sikat sii,0
shuhuaama sih tapi aku suka banget sama makanan jepang,0
aku pun nak cari rezeki halal bisnes online dgn cara betul takkan aku nak menipu orang pulak kan,0
cepet sembuh sayaang semoga kamu selalu diberikan kekuatan dan allah angkat sakit kamu segera yaaemangat a,0
selamat bertambah umur kamuu semoga kamu sehat selalu dan dipanjangkan umurmuemoga kamu selalu di,0
wei aku kt kedai mamak ni tiba2 keluar nudes kt tl aduh hahahaha,0
walaupun maut memisahkan kita aku akan selalu mencintaimu menyayangimu setulus hatiku fellychibi,0
hari ini aku akan berusaha untuk bersinar dengan awan berjalan beriringan dan tetap memuja kebebasan hanyutku,0
rindu kau tapi takpa la aku doa dari jauh jeemoga tuhan beri perlindungan pada kau,0
mantap nih kata kata pak jokowi aku dan para avengers lain siap untuk mencegah thanos menghapus setengah dari populasi j,0
anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaah,0
muhammad q muhammad q dengarkanlah seruanku aku rindu ak rindu padamu muhammad q,0
jangan lupa sholat jumat ya sayang aku jelek ya sayang ' bukan biar ganteng ih itu kan wajib oh kirain makasi,0
seseorang yang bisa membuat aku sering merasa khawatir berarti dialah orang yang sangat aku sayang,0
hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit,0
ini yg namanya indonesia ini yg namanya toleransi ini yg namanya bhineka tunggal ika peti jenasah pendeta oma palese man,0
aku mauuuu,0
omg kamu harus melihat ini bigolive gt pada kemana aja,0
ngikik baca ginian siang hari,0
wahai manusia yang aku suka terima kasih sebab support aku serta ada ketika aku gembira dan duka kau memang anugerah,0
lipstik yg creamy kaya purbasari gt bibir aku kering kalo pake itu enak ga keliatan kering,0
gemes kan aku oenyoe getoh cmiew jfclosedday,0
gua dinyanyiin raisa lagunya mantan terindah ya allah aku terharu,0
kenangan yg paling indah itu ialah ketika pertama kali kau cumbui aku sayang,0
teruntuk kak rehan kamu yg sabar ya,0
terus dia sharing2 gitu deh sama ngasih motivasi gua sama ngasih petuah2 kalo kamu pgn kaya amp nikah di umur sebelum 30th,0
belum start kuliah aku dah ponteng haih apa nak jadi hahaha,0
iya tp ada lagi tempat paling indah aku mau tunjukkin ke km dgn semangataya bawa dia ke tempat titik favorit saya,0
kalau aku berjuang trus sampai akhir aku pasti akan menemukan jalannya matsukaze tenma,0
hsjsjs aku juga apalagi kalo diliat dancenya,0
selamat berehat mr acappan antara pelawak aku suka amp evergreen selainathiya,0
senang senang je aku diperbodohkan duluob sob,0
ngantuk aku tidur dulu jangan khawatir besok aku masih mencintaimu seperti biasanya besok aku masih ngirim pesan seperti,0
mauu dm aku,0
karena aku percaya allah sdh mentakd,0
iya bener hahaha aku uda folback wlpun jarang pake ig hahaha fbmu apa,0
jeffan jangan manis manis banget donk nanti aku diabetes,0
aku cinta diriku sendiri,0
gigih nau,0
thanks wey sebab kau berani lagi tegur aku walaupun aku dah tak suke,0
aku berada ditempat dimana aku bisa menjadi seseorang yg berjalan diatas kakinya sendiri aku berada ditempat dimana aku bi,0
aku suka perempuan yang susah nak dapat tapi tulah susah betul nak dapat,0
aku suka jinkook,0
aku tahu kau boleh sabar k,0
aku sumpah cheese ni penyelesaian segala masalah kat malaysia nak kedai makan laris jual makanan dengan cheese nak b,0
jika aku bisa memutar kembali waktu aku tidak akan memutarnya karena aku tau kamu sdh bahagia dan beginilah seharusnya,0
berarti aku sepecial,0
aku nak pesan satu benda penting ni hargai orang yang masih ada kat dunia ni especially ur mom dad grandma pa siblin,0
aku xpernah tengok mak bahagia sebahagia dye hidup dengan pakcik mak yg dulunya sedih susah dah mule ade sinar bah,0
gua dinyanyiin raisa lagunya mantan terindah ya allah aku terharu,0
kok aku minat yg 20 ya pen nonton magic kaito berapaan,0
tiap salam buat suami aku exo di korea paaak,0
sesungguhnya penguasaan diri adalah penanda dari kedewasaan seseorangelamat buat kamu yang memang benar benar sudah b,0
temen doakan aku ya biar bisa dilancarkan buat ngerjain skripsi terutama bulan ini,0
kalau kamu mau dihormati harus mau menghormati,0
ambik aku pls hahahahaha,0
aku di bilang akun bisyar receh katanya iya gpp kok klo yg berasa highclass seh beda ya di senyumin aja,0
ya tuhanku jadikanlah negeri ini mekah negeri yang aman dan jauhkanlah aku beserta anak cucuku daripada menyem,0
siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s,0
aku syg kamu martinricaardo dan kamu donimodali1olehyakub,0
uhan dalam tidurku malam ini aku mohon engkau siapkan rezeki surprise yang bagus untukku esok hari aamiin,0
adek tingkatmu kocak ae rek ngekek aku,0
aku jokowilagi,0
if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah,0
aku nk bantu dia slagi aku mampu,0
kamu belum tentu lebih baik darinya dia belum tentu lebih baik darimu di balik fakta siapa lebih kaya secara materi le,0
siang boss qu jgn lupa makan siang dan selalu pentingin kesehatan kamu yaemangat untuk perfom nya nanti ya,0
anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaahahaha,0
boleh tak aku nak cakap yang aku dah minat drama korea hahahha sial lah hahahaha,0
sesungguhnya aku hanya tinggal bersabar dan mematuhi nasihat baik kebaikan yang kulakukan adalah untukku,0
gag aku mah baik,0
bwahahah aku sih pasti beli dua cuma ya mengingat harus beli albumnya beli phy juga qu bisa apa qaqa,0
luvluv teman aku yg kordes,0
aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan,0
acara keren enterpreneurchool 2018 yg diadain sama ini wajib kamu datengin deh intelektual muda apalagi,0
andai pun kita menyerah dan berkata sudah kau dan aku adalah kita yang terindah,0
jangan bersedih brader,0
pintar itu harus beradab klo hanya pintar aja iblis juga pintar apakah anda juga iblis aku lebih,0
jangan percaya dengan apa yang sedang kamu baca termasuk tweet ini ingin ngakak sendiri saat nulis ini,0
awalnya mereka mentertawai apa yg kamu ciptakan lalu mereka mengikuti apa yg kamu ciptakan selanjutnya mereka bangga dg,0
anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaahahaha,0
yang tau aku ya cuma aku sendiri sama tuhan jadi jangan pernah ngejudge seenaknya,0
aku yang baik,0
saya suka video aku tanya pak jokowi pakai bahasa jawa,0
al quran is the answer for everything that happens in this world termasuk alam semesta ini gimanaetiap permasala,0
aku teringat ke hehe,0
ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f,0
akan ada masa dimana kamu yg dulunya selalu ngasih kabar ke orang tua dengan ucapan sprti ini ma pak uang anakmu habis,0
suami pun dah macamherlock nak kena berfikir bagai utk dapat jawapan power haha,0
tuhan bijakkanlah aku dalam mengkhawatirkan masa depanku agar aku tak melumpuhkan masa kini ku,0
aku tak power mana pun masak memasak nie tapi aku harap bila dah kawin nanti setiap hari aku dapat masakkan suami aku d,0
aku tak akan menarik kembali kata kataku karena itulah jalan ninjaku,0
jika kamu ingin melupakan rasa marah terhadap seseorang ingatlah kebaikannya,0
pertama kalinya ada yg ngadain ga sekaligus 2x baik bgt kakanya terhura aku,0
aku lebih mencintai orang yang menegurku daripada orang yang memujiku kerana orang yang menegurku sebenarnya menyelama,0
kalo dia anggap kamu sahabat mau semarah apapun dia gak akan bisa benci lama lama pasti balik lagi,0
bukan nak kata aku ni berani tapi kita tak boleh takut sangat dengan benda ni kita kena takut dengan allah je tapi ke,0
aku merasakan sebuah pencerahan hari ini,0
aku terhibur dendangan si ikan kaloi td talented huwaaaa,0
haha mau ketawa ngakak di depan muka kamu boleh gasih,0
aku mulai mendewasakan cinta membiarkan kata katamu amarahmu egoismu keras kepalamu lepas dari tubuhmuedangkan aku,0
malu ah keliatan menel aku wkwkwkwkwk,0
terserah sampeyan mau bilang apa tapi aku manut habib luthfi dan khryarif rahmat bahwa bendera yg dimaksud dngn liwa dan,0
iya kamu dari bali yaekalian mutualan yuk aku juga dari bali,0
iya iya aku jg brcanda yang td wkwk,0
ada aku,0
yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja,0
aku suka lovitta amp aliqa,0
ini yg namanya indonesia ini yg namanya toleransi ini yg namanya bhineka tunggal ika peti jenasah pendeta oma palese man,0
senangnya aku klo km ajak ke sana,0
ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka,0
angeline miss katae mama aku cuma dapet dikit sincia'an kemaren me dapet berapa her 12 juta katae kembali menguc,0
mu gemes banget adminnya aku ga jadi marah,0
karna sekarang aku lagi ulang tahun dan besok hari enip nya ikon aku bakal adain ga pulsa 10k untuk 2 orang cukup aj,0
kalo aku yg menang jajanin ya wkwk,0
aku pernah gak buat gini tapi apesal tak baik baik jugak hahahahawau,0
seseorang yang berarti tak akan dengan mudah kamu miliki jika kamu sungguh mencintai jangan pernah berhenti berusaha untuk hati,0
kalau itu mah aku juga ngerti atuh,0
kehidupan adalah 10 yang terjadi pada dirimu dan 90 sisanya adalah bagaimana kamu menghadapinya,0
ho meta aku ws mg ahhahahah,0
kamu dulu hehe,0
aku tahu didepanku banyak halangan dan rintangan tapi aku tak akan berhenti dan menyerah,0
nasib baik akak aku normal,0
hahahaha kamu ya klo ada ice cream nyium aja deh besok aja ya imo jemput mau klo hari ini imo mau pacaran dulu,0
lah kan emang cantik dek masa iya ganteng kalo kamu ganteng trs gua apaan dek,0
wow aku salute org yg ada kesabaran yg tinggi niiiii huhuhu,0
kalo di surabaya liat cece cece ngomong kayak anak jaksel tapi logat e suroboyo gyettt be like lah ya ntik gua pick up,0
ehh nakk haha aku kdg ngam2 cantik kdg tu ter jauh plak smpai kene bukak seatbelt nak hulur keluar haha,0
jangan terburu buru mengartikan segala yang baru kamu lihat dari permukaan segala yang tampak belum tentu sesuai letak 9996,0
tls followan ama aku yukk rep rt kita temenan,0
tuhan memang mentakdirkan kita untuk saling berjauhan tetapi aku yakin tuhan memiliki rencana besar dibalik itu semua,0
dengan tata ruangan yang bikin kamu nyaman deh buat nongkrong,0
sentaknya terdiam akan bungkusan mie yang ia lihat guys lihat deh aku dapet apa kocak banget gak sih l,0
kamu tidak perlu menjadi bulan atau bintang untuk terlihat sempurna karena menjadi dirimu sendiri adalah sebuah kesempurnaan,0
hahahah agree nak mengadu itu ini panggil awak saya selalu whatsapp hmmm pastu kite marah kite,0
nampak sgt aku tkde life hahahaha,0
pak aku pengen nikah pak nduk nikah kue ibadah ojo kesusu ndak ra khusuk nduk paaak,0
guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar,0
ana uhibbuki fillah hatta fil jannah abadan abada aku mencintaimu hingga ke syurga selama lamanya kerana allah,0
mau daftar jadi driver ojol,0
doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu pember,0
aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo,0
happy videogameday untuk seluruh gamers dimanapun kamu beradaemoga engga cuman main gamers juga bisa berprestasi lewat g,0
setuju deh sama kamu,0
moga baik2 saja n dapat baby comel,0
yuk intip gaya busana julie laiskodat ini bisa jadi refrensi kamu ke kondangan lewat,0
aku mohon tepatilah janjimu penantiancintaeps19,0
aku akan bertahan selagi aku bisa namun disaat aku sudah tak bisa dan tak kuat bertahan maka aku akan pergi dan menjauh,0
wkwkwk ketawa aku kalo sedaerah sekalian meet up deh g,0
ocit kangen banget ini aku irene dapet acc dari temen dan mau balik rpw,0
hayuk mas aku mau,0
iya juga yaa ternyata aku sehebat itu,0
itu apalagi cuma tuduhan tak berdasar opo aku ra tambah ngguyu,0
gaisss gaiss aku mau ajak kalian bernostalgia nihh yukk simaxxxx,0
aku yg ngobatin kalo kamu sakit,0
kalaulah dengan senyuman boleh pulihkan hati aku yang sakit ni aku sanggup senyumetiap masa aku sanggup,0
tapi aku mencintaimu 30 emha ainun nadjib 14ep 2018 tetes tak mungkin kau temukan alama,0
iya tulus itu coba saja kamu fokus bersihin jerawat biar pede lagi,0
dan memang terbuktilah aku lagi tertarik dengan orang yg kelakar hahaahahahahaha,0
hanya karena kamu ditolak tidak berarti kau harus bersedih,0
aku ganteng weareskatepunkers,0
tidak ada yang sia sia jika kamu bisa mengambil hikmah dari setiap masalahemua hanya proses pembelajaran diri untuk men,0
semoga kamu tdk secepatnya berlalu,0
kamu mau kemana sih udah disini aja diluar dingin biar aku peluk ucap kasur kepadaku di setiap pagi hari,0
aku akan meyakinkan smw org bahwa mohini mencintai hartamu mohini penantiancintaeps19,0
mau dong aku lg butuh acc,0
aku tidak akan melepaskan tanganmu sebelum kau melepaskannya full house,0
aku suka orang cakap macam ni even tak rasa benda tu menyusahkan pon at least aku tahu dia appreciate pertolongan aku https,0
wkwkwkwkwkwwk tumben sekali kamu bepikir positip iiiaaaa,0
izinkan aku berbahagia karena aku serius bisa buat photocard sendiri lel,0
aku suka liat kakaknya jadi mas adimas lagi dong kalo sehun,0
di hari jum'at yang baik dan mustajab ini aku ingin berdo'a yaa allah berikan hamba keberanian untuk keluar dari,0
aku pengen ini ya allah,0
hahahahahahah selalu umpan aku dgn bakso cheese kan hahaha inshaallah nanti kalau jd buat aku gtau,0
wkwk harusnya aku tanya juga pertanyaan itu karena aku kepo and i knew her since long,0
rlt ini di mall aku nemu ginian ngakak bgt,0
rlt inilah alasan kenapa aku cinta twitter ' cr sharpanocopath,0
aku cuba utk tak awkward dgn kau aku berterima kasih sbb kau pun membantu,0
kebahagiaan tidak akan habis hanya karena membaginya ketahuilah kebahagiaan bertambah ketika kamu bersedia untuk berbag,0
dan hendaklah mereka memaafkan dan berlapang dada apakah kamu tidak suka bahwa allah mengampunimu dan allah ma,0
seorang ksatria patriot pasti mengayomi yg lemah buktinya kita semua tau siapa yg menulis buku aku bangga jadi anak pki o,0
aku suka tobeli,0
kamu suka kanuka dongg,0
terkadang untuk membuatmu menyadari siapa dirimu tuhan tak memberi orang yang kamu inginkan tapi orang yang kamu butuhkan,0
aku suka bila org yg aku syg selalu cari aku letakkan aku sbg priority diauka duka susah senang dia cari aku dia tak p,0
jika allah memberi kamu nikmat sepotong roti saja syukurilah itu kerana allah tidak membuat kamu meminta minta kepada ora,0
gak ada bosannya nunggu kamu balik lagi sama aku ',0
alhamdulillah baru sampe rumah nih hari yang panjang sekali jadi ngantuk banget sampe susah melek tetapi aku seneng,0
sarah gtayang hahahah tersasul panggil sayang hahahahah lawak abang ipar aku ni,0
jangan berpikir kamu tak mampu hidup tanpa dia yg telah meninggalkanmu percayalah ada seseorang yg lebih baik sedang menunggumu,0
maafin aku masih suka ngetawain ini,0
macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka,0
teruntuk kak rehan kamu yg sabar ya,0
orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz,0
aku balik ngefans lagi wkwkwk,0
bro followan yuk ama aku ava ku sungwoon auto follback ya hehe,0
aku ikutan,0
santai ae lak aku,0
mengenali diriku sendiri adalah kunci untuk mencapai kesempurnaan karena itu berarti aku mengetahui apa yang bisa dan tidak bisa kulakukan,0
lol,0
sedap juga makan bende rebus ikan dengan nasi putihh aku penuh kesabaran tgk mak abh makan sambal sotong,0
aman aku teringat kau ckp apply kerja kat jobstreet aku apply kejap aje dapat bersyukur siak terima kasih lin,0
aku selalu berpikir cinta itu artinya ingin selalu bersama seseorang yg sebenarnya sangat berharga dalam hidupku itsukipas pa,0
tak peduli apa yang telah hilang dalam hidupmu selama kamu masih mampu bersyukur pada tuhan kamu tak kehilangan apapun,0
sayang kalo kamu cari yang tajir dan ganteng aku mundur tapi kalo kamu cari pengobatan ala tiongkok akupuntur,0
aku dengan kakak aku always wey tak pun yo,0
pasanganmu tetap yang terbaik selama kamu tidak terus terusan mencari kekurangannya justru kurangnya dia kamu usaha lengkapi,0
done yaa moment yang bikin aku jatuh cinta samaeventeen setiap kali aku melihat sikap kekeluargaan,0
thank you pulsanya udah masuk ya padahal mah aku niatnya cuma jawab komen kamu aja eh malah dikasih pulsa wkwke,0
aku baru menyadarinya setelah sekian lamaemoga kelak dapet dospem yg baik hati,0
giveaway lagi nihhhh aku akan jadi karma buat kebaikan yang udh kalian lakuin selama ini dgn cara bagiin parfum yg lg hits,0
sedap ni buat sate,0
lee jonguk karena memang ia menganggap ljs adalah teman baik maka tidak perlu merasa canggung bukankah jika aku merasa rindu,0
kalau aku mau melakukan itu jadinya ini nyatanya begini taunya begitu,0
doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu pember,0
amiiiiin goodluck,0
bukan aku lah setan ish dia ni ahahahahahahah syaza en alamak pukul kau kang,0
masuk grup yg aku barusan share ya ntar langsung goyang aja shopeenya,0
kejar mimpimu aku takkan berhenti sblm sampai ke pertemuan 2 laut atau aku akan berjalan bertahun2 qs al kahfi 60,0
nampak sedap do leleh patut aku ikut je zzz,0
benar kan aku,0
nanti aku tanyain keuamiku dulu ya baru aku kabarin wkw,0
jangan semakkan life aku dengan mende yang berguna hahahahaha,0
aku ingin begini aku ingin begitu ingin ini itu banyak sekaliemua semua semua dapat dikabulkan dapat dikabulk,0
tadi ada budak usm kelantan panggil aku akak sebab dia kata gaya aku macam senior lewlwlwls,0
pencapaian sederhana dalam hidup instastory ku dilihat kamu,0
moga2 allah berikan aku bersalin normal dengan selamat kali kedua nanti,0
malu dia kayanya padahal aku bangga2in dia,0
tls followan ama aku yukk rep rt kita temenan,0
aku mimpiin kamu dong,0
lucu do tadi kak cafe asal mana dik mearawak kak k cafe org mana me kuching kak k cafe ohhh org bandar,0
iya huhu aku sayang mutual disini,0
hahahahahahaahahaha aku jauh kot siapa nk amik aku,0
jika allah memberi kamu nikmat sepotong roti saja syukurilah itu kerana allah tidak membuat kamu meminta minta kepada ora,0
ini aku main pake yang biasa tetep nyaman ps4 pro cuma buat 4k doang bang utamanya ini malah aku p,0
masih belum terlambat kalau nak cuba hisap rekorder,0
kakak caro plis hari ini menang ya biar weekend ku berwarna ngeliat kamu di tipi hehehe,0
daripada kamu bergantung pada alat alat ku lebih baik kamu kerjakan dengan usahamu sendiri doraemon,0
hahahaha hey aku lagi lalalaa,0
kena bayar lebih kalau mcmni,0
aku penginne kerjo ng tmpat dgn bismis,0
dosen2 macam bu lilis ini nih yg bikin aku tambah pengen jadi orang hukum,0
karena aku menang fansign svt besok aku mau giveaway untuk carat ditunggu yaa,0
aku suka lebih suka klo lihat isi nya tambah sange,0
mau dong pinjem catetannya aku pemales wkwk,0
jangan pernah tinggalin seseorang yang kamu butuhkan demi orang lain yang kamu inginkan,0
aku ingin ngecat kamar warna tango bubble gum,0
aku ni jenis dahulukan orang yang aku sayang bahagia dulu lepastu baru aku membawa diri,0
ho oh wkwk kok bisa itu lho tingkahnyaaaa heran aku wkwk lumayan kan nyes ilang dikit capekmu kelar kerja haha,0
pm setuju kamu sibuk sebab apa anwar ibrahim,0
bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah,0
aku emang suka maksa orang,0
bebe rexha ni contoh perempuan yg chubby tapi lawa body goals tak perlu bersusah paysh diet sbb bagi aku semua perempuan n,0
boleh ga aku mampir ke warungnya,0
ngakak aku wkwkwkw,0
